Team,Player,Age,Mins,Goals,Assists,Age-group,GoalsPer90,AssistsPer90
Liverpool,Philippe Coutinho,25,2245,13,7,24-30,"0,5211581292","0,280623608"
Liverpool,Roberto Firmino,26,3069,11,7,24-30,"0,3225806452","0,2052785924"
Liverpool,Sadio Mané,25,2248,13,5,24-30,"0,5204626335","0,2001779359"
Liverpool,Jordan Henderson,27,2118,1,4,24-30,"0,04249291785","0,1699716714"
Liverpool,James Milner,31,3160,7,3,31+,"0,1993670886","0,08544303797"
Liverpool,Dejan Lovren,28,2555,2,1,24-30,"0,07045009785","0,03522504892"
Liverpool,Joel Matip,26,2456,1,0,24-30,"0,03664495114",0
Liverpool,Adam Lallana,29,2350,8,7,24-30,"0,3063829787","0,2680851064"
Liverpool,Emre Can,23,2368,5,2,<24,"0,1900337838","0,07601351351"
Liverpool,Georginio Wijnaldum,26,2978,6,9,24-30,"0,1813297515","0,2719946273"
Liverpool,Nathaniel Clyne,26,3324,0,2,24-30,0,"0,05415162455"
Liverpool,Simon Mignolet,29,2520,0,0,24-30,0,0
Liverpool,Lucas Leiva,30,1105,0,3,24-30,0,"0,2443438914"
Liverpool,Ragnar Klavan,31,1408,0,0,31+,0,0
Liverpool,Daniel Sturridge,28,769,3,1,24-30,"0,3511053316","0,1170351105"
Liverpool,Divock Origi,22,1460,7,3,<24,"0,4315068493","0,1849315068"
Liverpool,Loris Karius,24,900,0,0,24-30,0,0
Liverpool,Alberto Moreno,25,298,0,1,24-30,0,"0,3020134228"
Liverpool,Marko Grujic,21,38,0,0,<24,0,0
Liverpool,Trent Alexander-Arnold,19,166,0,0,<24,0,0
Liverpool,Ben Woodburn,17,84,0,0,<24,0,0
Liverpool,Kevin Stewart,24,18,0,0,24-30,0,0
Liverpool,Ovie Ejaria,19,6,0,0,<24,0,0
Arsenal,Alexis Sánchez,28,3224,24,10,24-30,"0,6699751861","0,2791563275"
Arsenal,Calum Chambers,22,90,1,0,<24,1,0
Arsenal,Shkodran Mustafi,25,2275,2,2,24-30,"0,07912087912","0,07912087912"
Arsenal,Mesut Özil,28,2848,8,9,24-30,"0,2528089888","0,2844101124"
Arsenal,Laurent Koscielny,32,2824,2,0,31+,"0,06373937677",0
Arsenal,Santi Cazorla,32,619,2,2,31+,"0,2907915994","0,2907915994"
Arsenal,Carl Jenkinson,25,83,0,0,24-30,0,0
Arsenal,Alex Oxlade Chamberlain,24,1563,2,7,24-30,"0,1151631478","0,4030710173"
Arsenal,Theo Walcott,28,1925,10,2,24-30,"0,4675324675","0,09350649351"
Arsenal,Kieran Gibbs,28,702,0,1,24-30,0,"0,1282051282"
Arsenal,Nacho Monreal,31,3153,0,2,31+,0,"0,05708848716"
Arsenal,Rob Holding,22,810,0,0,<24,0,0
Arsenal,Granit Xhaka,25,2486,2,2,24-30,"0,07240547064","0,07240547064"
Arsenal,Petr Cech,35,3098,0,0,31+,0,0
Arsenal,Gabriel Paulista,26,1516,0,0,24-30,0,0
Arsenal,Olivier Giroud,31,1198,12,3,31+,"0,9015025042","0,225375626"
Arsenal,Héctor Bellerín,22,2500,1,4,<24,"0,036","0,144"
Arsenal,Francis Coquelin,26,1786,0,0,24-30,0,0
Arsenal,Alex Iwobi,21,1463,3,3,<24,"0,1845522898","0,1845522898"
Arsenal,Per Mertesacker,33,37,0,0,31+,0,0
Arsenal,Aaron Ramsey,26,1231,1,4,24-30,"0,07311129163","0,2924451665"
Arsenal,Emiliano Martínez,25,180,0,0,24-30,0,0
Arsenal,Danny Welbeck,26,746,2,2,24-30,"0,2412868633","0,2412868633"
Arsenal,Mohamed El Neny,25,694,0,1,24-30,0,"0,1296829971"
Arsenal,Mathieu Debuchy,32,16,0,0,31+,0,0
Arsenal,Jack Wilshere,25,37,0,0,24-30,0,0
Arsenal,Lucas Pérez,29,265,1,0,24-30,"0,3396226415",0
Arsenal,David Ospina,29,142,0,0,24-30,0,0
Arsenal,Ainsley Maitland-Niles,20,1,0,0,<24,0,0
Bournmouth,Nathan Aké,22,733,3,0,<24,"0,3683492497",0
Bournmouth,Steve Cook,26,3420,2,0,24-30,"0,05263157895",0
Bournmouth,Joshua King,25,2721,16,2,24-30,"0,5292171996","0,06615214994"
Bournmouth,Simon Francis,32,2941,0,1,31+,0,"0,03060183611"
Bournmouth,Charlie Daniels,31,3060,4,3,31+,"0,1176470588","0,08823529412"
Bournmouth,Junior Stanislas,27,1476,7,5,24-30,"0,4268292683","0,3048780488"
Bournmouth,Adam Smith,26,3099,1,5,24-30,"0,02904162633","0,1452081317"
Bournmouth,Jack Wilshere,25,1916,0,2,24-30,0,"0,09394572025"
Bournmouth,Marc Pugh,30,1333,2,2,24-30,"0,1350337584","0,1350337584"
Bournmouth,Lewis Cook,20,431,0,2,<24,0,"0,4176334107"
Bournmouth,Harry Arter,27,2959,1,4,24-30,"0,03041568097","0,1216627239"
Bournmouth,Ryan Fraser,23,1769,3,5,<24,"0,1526286037","0,2543810062"
Bournmouth,Artur Boruc,37,3150,0,0,31+,0,0
Bournmouth,Ryan Allsop,25,90,0,0,24-30,0,0
Bournmouth,Andrew Surman,31,1792,0,1,31+,0,"0,05022321429"
Bournmouth,Dan Gosling,27,1358,2,0,24-30,"0,1325478645",0
Bournmouth,Adam Federici,32,180,0,0,31+,0,0
Bournmouth,Callum Wilson,25,1367,6,0,24-30,"0,3950256035",0
Bournmouth,Benik Afobe,24,1454,6,3,24-30,"0,371389271","0,1856946355"
Bournmouth,Jordon Ibe,21,1059,0,0,<24,0,0
Bournmouth,Tyrone Mings,24,506,0,0,24-30,0,0
Bournmouth,Baily Cargill,22,12,0,0,<24,0,0
Bournmouth,Lewis Grabban,29,58,0,1,24-30,0,"1,551724138"
Bournmouth,Max Gradel,29,126,0,0,24-30,0,0
Bournmouth,Brad Smith,23,272,0,0,<24,0,0
Bournmouth,Lys Mousset,21,265,0,0,<24,0,0
Bournmouth,Matt Worthington,19,16,0,0,<24,0,0
Burnley,Ben Mee,28,3016,1,0,24-30,"0,02984084881",0
Burnley,Michael Keane,24,3150,2,1,24-30,"0,05714285714","0,02857142857"
Burnley,Matthew Lowton,28,3240,0,2,24-30,0,"0,05555555556"
Burnley,Joey Barton,35,1104,1,0,31+,"0,08152173913",0
Burnley,Tom Heaton,31,3150,0,0,31+,0,0
Burnley,Stephen Ward,32,3233,1,1,31+,"0,02783792144","0,02783792144"
Burnley,Sam Vokes,27,2055,10,3,24-30,"0,4379562044","0,1313868613"
Burnley,Jon Flanagan,24,359,0,0,24-30,0,0
Burnley,Steven Defour,29,1080,1,3,24-30,"0,08333333333","0,25"
Burnley,Robbie Brady,25,716,1,2,24-30,"0,125698324","0,251396648"
Burnley,Kevin Long,27,270,0,0,24-30,0,0
Burnley,Ashley Barnes,27,1779,6,2,24-30,"0,3035413153","0,1011804384"
Burnley,George Boyd,32,2845,2,1,31+,"0,06326889279","0,0316344464"
Burnley,Johann Berg Gudmundsson,26,997,1,2,24-30,"0,09027081244","0,1805416249"
Burnley,Dean Marney,33,1770,1,2,31+,"0,05084745763","0,1016949153"
Burnley,Scott Arfield,28,2107,1,0,24-30,"0,04271476032",0
Burnley,Paul Robinson,37,270,0,0,31+,0,0
Burnley,Jeff Hendrick,25,2696,2,1,24-30,"0,06676557864","0,03338278932"
Burnley,Andre Gray,26,2268,9,3,24-30,"0,3571428571","0,119047619"
Burnley,James Tarkowski,24,556,0,0,24-30,0,0
Burnley,Ashley Westwood,27,550,0,0,24-30,0,0
Burnley,Michael Kightly,31,103,0,0,31+,0,0
Burnley,Aiden O'Neill,19,83,0,0,<24,0,0
Burnley,Daniel Agyei,20,24,0,0,<24,0,0
Burnley,Lukas Jutkiewicz,28,11,0,0,24-30,0,0
Burnley,David Jones,32,87,0,0,31+,0,0
Burnley,Patrick Bamford,24,34,0,0,24-30,0,0
Chelsea,Eden Hazard,26,3007,16,5,24-30,"0,4788826072","0,1496508148"
Chelsea,Marcos Alonso,26,2694,6,3,24-30,"0,2004454343","0,1002227171"
Chelsea,Diego Costa,29,3090,20,7,24-30,"0,5825242718","0,2038834951"
Chelsea,N'Golo Kanté,26,3139,1,1,24-30,"0,02867155145","0,02867155145"
Chelsea,Victor Moses,26,2498,3,2,24-30,"0,1080864692","0,07205764612"
Chelsea,César Azpilicueta,28,3420,1,4,24-30,"0,02631578947","0,1052631579"
Chelsea,David Luiz,30,2956,1,0,24-30,"0,03044654939",0
Chelsea,Pedro,30,2151,9,9,24-30,"0,3765690377","0,3765690377"
Chelsea,Gary Cahill,31,3296,6,0,31+,"0,1638349515",0
Chelsea,Cesc Fàbregas,30,1328,5,12,24-30,"0,3388554217","0,813253012"
Chelsea,Nemanja Matic,29,2697,1,7,24-30,"0,03337041157","0,233592881"
Chelsea,Willian,29,1531,8,2,24-30,"0,4702808622","0,1175702155"
Chelsea,Thibaut Courtois,25,3240,0,0,24-30,0,0
Chelsea,Oscar,26,456,0,1,24-30,0,"0,1973684211"
Chelsea,Nathan Aké,22,98,0,1,<24,0,"0,9183673469"
Chelsea,Branislav Ivanovic,33,584,0,0,31+,0,0
Chelsea,Kenedy,21,75,0,0,<24,0,0
Chelsea,John Terry,36,494,1,0,31+,"0,1821862348",0
Chelsea,Michy Batshuayi,24,239,5,1,24-30,"1,882845188","0,3765690377"
Chelsea,Nathaniel Chalobah,22,159,0,1,<24,0,"0,5660377358"
Chelsea,Kurt Zouma,22,247,0,1,<24,0,"0,3643724696"
Chelsea,Ola Aina,21,25,0,0,<24,0,0
Chelsea,Ruben Loftus-Cheek,21,31,0,0,<24,0,0
Chelsea,Asmir Begovic,30,180,0,0,24-30,0,0
