Team,Pl,W,D,L,Pts
Barcelona,38,28,9,1,93
Atletico Madrid,38,23,10,5,79
Real Madrid,38,22,10,6,76
Valencia,38,22,7,9,73
Villarreal,38,18,7,13,61
Real Betis,38,18,6,14,60
Sevilla,38,17,7,14,58
Getafe,38,15,10,13,55
Eibar,38,14,9,15,51
Girona,38,14,9,15,51
Espanyol,38,12,13,13,49
Real Sociedad,38,14,7,17,49
Celta Vigo,38,13,10,15,49
Alaves,38,15,2,21,47
Levante,38,11,13,14,46
Athletic Bilbao,38,10,13,15,43
Leganes,38,12,7,19,43
Deportivo La Coruna,38,6,11,21,29
Las Palmas,38,5,7,26,22
Malaga,38,5,5,28,20
