Player;Position;Age;Minutes played;Height;Weight;Tackle succ. %;Interceptions per 90;Goals per 90;Head goals per 90;Shots per 90;Shots on target %;Assists per 90;Crosses per 90;Dribbles per 90;Dribbles succ. %;Touches in box per 90;Passes per 90;Passes acc. %
L. Messi;CF, RWF, AMF;30;5550;170;72;28,57;1,07;0,89;0,02;5,12;42,77;0,3;1,17;5,15;73,16;4,84;47,93;82,46
G. Higuaín;CF;30;5246;184;82;50;1,68;0,5;0;3,26;47,37;0,1;0,82;1,63;68,42;3,76;21,5;82,52
L. Suárez;CF;30;5147;182;86;28,57;1,74;0,63;0,04;3,37;45,26;0,23;1,46;2,52;38,73;6,14;27,11;74,13
A. Griezmann;CF;26;5121;175;71;38,78;1,7;0,44;0,05;2,42;50;0,22;0,91;0,71;66,67;2,84;32,64;80,66
Mohamed Salah;RWF, RAMF, CF;25;5080;175;72;100;1,11;0,71;0,02;3,4;49,73;0,25;2,11;2,33;61,72;5,68;29,27;79,55
L. Insigne;LWF, LW;26;5060;163;59;0;2,71;0,46;0;4,37;41,32;0,22;2,73;2,18;58,68;4,66;70,81;84,83
E. Cavani;CF;30;5052;184;71;25;1,23;0,93;0,12;3,79;49,3;0,14;0,59;0,62;57,14;5,24;16,83;79,26
C. Eriksen;AMF, RAMF, LCMF3;25;5010;180;76;0;2,64;0,34;0;3,22;40,78;0,45;2,95;1,44;45;2,43;52,19;81,14
R. Lewandowski;CF;29;4968;185;79;25;1,29;0,96;0,09;3,82;48,79;0,11;1,07;1,27;56,52;5,31;21,05;80,63
A. Sánchez;CF, AMF, LAMF;29;4903;169;62;22,86;1,49;0,48;0,04;3,25;37,85;0,2;2,72;2,74;63,09;4,24;44,33;74
Koke;LW, LCMF, RW;26;4829;177;73;30,3;4,39;0,09;0;1,01;48,08;0,14;1,35;0,74;65,79;0,93;63,99;84,61
Saúl;LCMF, RW;23;4828;184;76;42,86;5,97;0,15;0,07;1,53;31,71;0,09;0,76;1,9;59,8;1,23;41,09;84,03
D. Mertens;CF, AMF;30;4822;169;61;44,44;1,41;0,65;0,06;3,89;43,96;0,39;2,03;3,36;52,51;4,77;27,44;75,85
José Callejón;RWF;30;4813;178;73;28,57;3,39;0,34;0,06;1,65;54,02;0,15;2,99;0,64;44,12;3,81;38,3;83,57
Neymar;LWF;25;4812;175;68;0;1,76;0,65;0,02;3,95;42,65;0,41;2,24;7,46;67,92;5,29;51,92;79,54
R. Lukaku;CF;24;4783;190;94;20;1,17;0,68;0,17;3,01;54,37;0,13;1,43;1,45;66,23;4,23;19,04;74,41
C. Immobile;CF;27;4782;181;85;42,86;1,17;0,83;0,17;3,43;48,6;0,19;0,9;1,67;56,32;4,81;21,41;79,12
P. Aubameyang;CF;28;4711;187;80;20;1,13;0,82;0,15;3,19;53,29;0,08;1,72;0,75;46,15;4,53;14,81;72,39
P. Dybala;AMF, CF;24;4619;177;69;25;1,85;0,58;0;3,74;42,71;0,16;1,38;2,88;66,89;2,73;41,93;86,11
G. Sigurðsson;AMF, LW, LWF;28;4518;186;77;30;3,49;0,26;0;2,23;41,07;0,26;1,53;1,06;54,72;1,97;25,8;79,46
L. Stindl;CF;29;4500;181;80;25;2,79;0,38;0,04;2,27;44,25;0,08;1,01;1,03;58,82;2,91;43,9;84,75
A. Yarmolenko;RWF, RW, RAMF;28;4437;189;81;6,67;1,18;0,55;0,06;2,37;47,01;0,24;2,92;2,33;58,26;3,63;34,56;79,99
H. Kane;CF;24;4424;188;86;23,53;1,75;1,06;0,12;5;46,75;0,14;1,24;2,1;52,43;4,72;17,92;74,91
R. Mahrez;RW, RAMF;26;4412;179;62;0;2,75;0,29;0,02;2,07;49;0,23;2,38;3,17;50,98;2,19;32,34;78,36
Roberto Firmino;CF, LWF, RWF;26;4406;181;76;23,08;2,14;0,45;0,13;2,54;45;0,21;1,86;1,61;71,05;4,47;34,48;77,7
Marcos Alonso;LWB, LB5;27;4353;188;81;28,57;4,55;0,23;0,04;1,59;40,26;0,06;3,43;0,64;64,52;2,05;40,32;78,41
A. Vidal;LDMF, LCMF3, AMF;30;4328;180;75;32,63;4,85;0,25;0,08;2,53;34,71;0,1;0,71;0,33;56,25;2,42;63,28;89,34
I. Perišić;LAMF;28;4313;186;80;29,63;3,88;0,27;0,04;3,09;27,03;0,29;6,84;1,21;53,45;5,03;38,69;69,36
R. Nainggolan;LCMF3, AMF, RCMF3;29;4299;176;77;44,94;2,39;0,25;0,02;2,43;30,17;0,17;2,85;1,38;65,15;1,88;44,17;81,99
Bernardo Silva;RW, RWF;23;4232;173;64;31,82;2,41;0,21;0,07;1,43;40,91;0,26;2,59;2,48;64,91;3,17;43,8;85,07
K. Walker;RB, RWB;27;4217;183;83;55,56;4,47;0;0;0,49;21,74;0,15;2,71;1,31;50,82;1,14;60,93;85,96
L. Augustinsson;LB, LWB;23;4190;181;75;33,33;3,69;0,02;0;0,34;31,25;0,17;4,55;0,71;51,52;0,99;44,48;81,31
B. Davies;LB, LWB, LCB3;24;4176;182;76;42,86;4,61;0,06;0;0,69;25;0,11;3,94;0,63;72,41;1,14;50,41;79,22
R. Sterling;RWF, RW;23;4128;170;69;50;1,93;0,48;0;2,42;39,25;0,29;3,1;3,15;58,27;5,73;38,63;83,75
