"player";"lineup";"post";"matchday"
"Thibaut Courtois";"starting";"Keeper";1
"Gary Cahill";"starting";"Centre-Back";1
"John Terry";"starting";"Centre-Back";1
"César Azpilicueta";"starting";"Left-Back";1
"Branislav Ivanovic";"starting";"Right-Back";1
"N'Golo Kanté";"starting";"Defensive Midfield";1
"Nemanja Matic";"starting";"Central Midfield";1
"Oscar";"starting";"Attacking Midfield";1
"Eden Hazard";"starting";"Left Wing";1
"Willian";"starting";"Right Wing";1
"Diego Costa";"starting";"Centre-Forward";1
"Asmir Begovic";"bench";"Keeper";1
"Ola Aina";"bench";"Right-Back";1
"Cesc Fàbregas";"bench";"Central Midfield";1
"Ruben Loftus-Cheek";"bench";"Central Midfield";1
"Pedro";"bench";"Right Wing";1
"Victor Moses";"bench";"Left Wing";1
"Michy Batshuayi";"bench";"Centre-Forward";1
"Thibaut Courtois";"starting";"Keeper";2
"Gary Cahill";"starting";"Centre-Back";2
"John Terry";"starting";"Centre-Back";2
"César Azpilicueta";"starting";"Left-Back";2
"Branislav Ivanovic";"starting";"Right-Back";2
"N'Golo Kanté";"starting";"Defensive Midfield";2
"Nemanja Matic";"starting";"Central Midfield";2
"Oscar";"starting";"Attacking Midfield";2
"Eden Hazard";"starting";"Left Wing";2
"Pedro";"starting";"Right Wing";2
"Diego Costa";"starting";"Centre-Forward";2
"Asmir Begovic";"bench";"Keeper";2
"Ola Aina";"bench";"Right-Back";2
"Nathaniel Chalobah";"bench";"Defensive Midfield";2
"Cesc Fàbregas";"bench";"Central Midfield";2
"Ruben Loftus-Cheek";"bench";"Central Midfield";2
"Victor Moses";"bench";"Left Wing";2
"Michy Batshuayi";"bench";"Centre-Forward";2
"Thibaut Courtois";"starting";"Keeper";3
"Gary Cahill";"starting";"Centre-Back";3
"John Terry";"starting";"Centre-Back";3
"César Azpilicueta";"starting";"Left-Back";3
"Branislav Ivanovic";"starting";"Right-Back";3
"N'Golo Kanté";"starting";"Defensive Midfield";3
"Nemanja Matic";"starting";"Central Midfield";3
"Oscar";"starting";"Attacking Midfield";3
"Eden Hazard";"starting";"Left Wing";3
"Willian";"starting";"Right Wing";3
"Diego Costa";"starting";"Centre-Forward";3
"Asmir Begovic";"bench";"Keeper";3
"Ola Aina";"bench";"Right-Back";3
"Cesc Fàbregas";"bench";"Central Midfield";3
"Ruben Loftus-Cheek";"bench";"Central Midfield";3
"Pedro";"bench";"Left Wing";3
"Victor Moses";"bench";"Right Wing";3
"Michy Batshuayi";"bench";"Centre-Forward";3
"Thibaut Courtois";"starting";"Keeper";4
"Gary Cahill";"starting";"Centre-Back";4
"John Terry";"starting";"Centre-Back";4
"César Azpilicueta";"starting";"Left-Back";4
"Branislav Ivanovic";"starting";"Right-Back";4
"N'Golo Kanté";"starting";"Defensive Midfield";4
"Nemanja Matic";"starting";"Central Midfield";4
"Oscar";"starting";"Attacking Midfield";4
"Eden Hazard";"starting";"Left Wing";4
"Willian";"starting";"Right Wing";4
"Diego Costa";"starting";"Centre-Forward";4
"Asmir Begovic";"bench";"Keeper";4
"David Luiz";"bench";"Centre-Back";4
"Marcos Alonso";"bench";"Left-Back";4
"Cesc Fàbregas";"bench";"Central Midfield";4
"Pedro";"bench";"Right Wing";4
"Victor Moses";"bench";"Right Wing";4
"Michy Batshuayi";"bench";"Centre-Forward";4
"Thibaut Courtois";"starting";"Keeper";5
"David Luiz";"starting";"Centre-Back";5
"Gary Cahill";"starting";"Centre-Back";5
"César Azpilicueta";"starting";"Left-Back";5
"Branislav Ivanovic";"starting";"Right-Back";5
"N'Golo Kanté";"starting";"Defensive Midfield";5
"Nemanja Matic";"starting";"Central Midfield";5
"Oscar";"starting";"Attacking Midfield";5
"Eden Hazard";"starting";"Left Wing";5
"Willian";"starting";"Right Wing";5
"Diego Costa";"starting";"Centre-Forward";5
"Asmir Begovic";"bench";"Keeper";5
"Marcos Alonso";"bench";"Left-Back";5
"Ola Aina";"bench";"Right-Back";5
"Cesc Fàbregas";"bench";"Central Midfield";5
"Pedro";"bench";"Left Wing";5
"Victor Moses";"bench";"Right Wing";5
"Michy Batshuayi";"bench";"Centre-Forward";5
"Thibaut Courtois";"starting";"Keeper";6
"David Luiz";"starting";"Centre-Back";6
"Gary Cahill";"starting";"Centre-Back";6
"César Azpilicueta";"starting";"Left-Back";6
"Branislav Ivanovic";"starting";"Right-Back";6
"N'Golo Kanté";"starting";"Defensive Midfield";6
"Nemanja Matic";"starting";"Central Midfield";6
"Cesc Fàbregas";"starting";"Central Midfield";6
"Eden Hazard";"starting";"Left Wing";6
"Willian";"starting";"Right Wing";6
"Diego Costa";"starting";"Centre-Forward";6
"Asmir Begovic";"bench";"Keeper";6
"Marcos Alonso";"bench";"Left-Back";6
"Nathaniel Chalobah";"bench";"Defensive Midfield";6
"Oscar";"bench";"Attacking Midfield";6
"Pedro";"bench";"Left Wing";6
"Victor Moses";"bench";"Right Wing";6
"Michy Batshuayi";"bench";"Centre-Forward";6
"Thibaut Courtois";"starting";"Keeper";7
"David Luiz";"starting";"Centre-Back";7
"Gary Cahill";"starting";"Centre-Back";7
"César Azpilicueta";"starting";"Centre-Back";7
"Nemanja Matic";"starting";"Defensive Midfield";7
"N'Golo Kanté";"starting";"Defensive Midfield";7
"Victor Moses";"starting";"Right Midfield";7
"Marcos Alonso";"starting";"Left Midfield";7
"Eden Hazard";"starting";"Attacking Midfield";7
"Willian";"starting";"Attacking Midfield";7
"Diego Costa";"starting";"Centre-Forward";7
"Asmir Begovic";"bench";"Keeper";7
"Branislav Ivanovic";"bench";"Centre-Back";7
"Nathaniel Chalobah";"bench";"Defensive Midfield";7
"Cesc Fàbregas";"bench";"Central Midfield";7
"Oscar";"bench";"Attacking Midfield";7
"Pedro";"bench";"Right Wing";7
"Michy Batshuayi";"bench";"Centre-Forward";7
"Thibaut Courtois";"starting";"Keeper";8
"David Luiz";"starting";"Centre-Back";8
"Gary Cahill";"starting";"Centre-Back";8
"César Azpilicueta";"starting";"Centre-Back";8
"Nemanja Matic";"starting";"Defensive Midfield";8
"N'Golo Kanté";"starting";"Defensive Midfield";8
"Victor Moses";"starting";"Right Midfield";8
"Marcos Alonso";"starting";"Left Midfield";8
"Eden Hazard";"starting";"Attacking Midfield";8
"Pedro";"starting";"Attacking Midfield";8
"Diego Costa";"starting";"Centre-Forward";8
"Asmir Begovic";"bench";"Keeper";8
"John Terry";"bench";"Centre-Back";8
"Ola Aina";"bench";"Right-Back";8
"Nathaniel Chalobah";"bench";"Central Midfield";8
"Ruben Loftus-Cheek";"bench";"Central Midfield";8
"Michy Batshuayi";"bench";"Centre-Forward";8
"Dominic Solanke";"bench";"Centre-Forward";8
"Thibaut Courtois";"starting";"Keeper";9
"David Luiz";"starting";"Centre-Back";9
"Gary Cahill";"starting";"Centre-Back";9
"César Azpilicueta";"starting";"Centre-Back";9
"Nemanja Matic";"starting";"Defensive Midfield";9
"N'Golo Kanté";"starting";"Defensive Midfield";9
"Victor Moses";"starting";"Right Midfield";9
"Marcos Alonso";"starting";"Left Midfield";9
"Eden Hazard";"starting";"Attacking Midfield";9
"Pedro";"starting";"Attacking Midfield";9
"Diego Costa";"starting";"Centre-Forward";9
"Asmir Begovic";"bench";"Keeper";9
"John Terry";"bench";"Centre-Back";9
"Ola Aina";"bench";"Right-Back";9
"Nathaniel Chalobah";"bench";"Defensive Midfield";9
"Oscar";"bench";"Attacking Midfield";9
"Willian";"bench";"Right Wing";9
"Michy Batshuayi";"bench";"Centre-Forward";9
"Thibaut Courtois";"starting";"Keeper";10
"David Luiz";"starting";"Centre-Back";10
"Gary Cahill";"starting";"Centre-Back";10
"César Azpilicueta";"starting";"Centre-Back";10
"Nemanja Matic";"starting";"Defensive Midfield";10
"N'Golo Kanté";"starting";"Defensive Midfield";10
"Victor Moses";"starting";"Right Midfield";10
"Marcos Alonso";"starting";"Left Midfield";10
"Eden Hazard";"starting";"Attacking Midfield";10
"Pedro";"starting";"Attacking Midfield";10
"Diego Costa";"starting";"Centre-Forward";10
"Asmir Begovic";"bench";"Keeper";10
"Branislav Ivanovic";"bench";"Centre-Back";10
"John Terry";"bench";"Centre-Back";10
"Nathaniel Chalobah";"bench";"Defensive Midfield";10
"Oscar";"bench";"Attacking Midfield";10
"Willian";"bench";"Attacking Midfield";10
"Michy Batshuayi";"bench";"Centre-Forward";10
"Thibaut Courtois";"starting";"Keeper";11
"David Luiz";"starting";"Centre-Back";11
"Gary Cahill";"starting";"Centre-Back";11
"César Azpilicueta";"starting";"Centre-Back";11
"Nemanja Matic";"starting";"Defensive Midfield";11
"N'Golo Kanté";"starting";"Defensive Midfield";11
"Victor Moses";"starting";"Right Midfield";11
"Marcos Alonso";"starting";"Left Midfield";11
"Eden Hazard";"starting";"Left Wing";11
"Pedro";"starting";"Right Wing";11
