"player";"lineup";"matchday"
"Petr Cech  ";"player";1
"Rob Holding ";"player";1
"Calum Chambers ";"player";1
"Nacho Monreal ";"player";1
"Héctor Bellerín ";"player";1
"Mohamed Elneny ";"player";1
"Francis Coquelin ";"player";1
"Aaron Ramsey ";"player";1
"Alex Iwobi ";"player";1
"Theo Walcott ";"player";1
"Alexis Sánchez ";"player";1
"David Ospina ";"bench";1
"Kieran Gibbs ";"bench";1
"Granit Xhaka ";"bench";1
"Jack Wilshere ";"bench";1
"Santi Cazorla ";"bench";1
"Alex Oxlade-Chamberlain ";"bench";1
"Chuba Akpom ";"bench";1
"Kasper Schmeichel ";"player";2
"Wes Morgan  ";"player";2
"Robert Huth ";"player";2
"Christian Fuchs ";"player";2
"Danny Simpson ";"player";2
"Nampalys Mendy ";"player";2
"Danny Drinkwater ";"player";2
"Marc Albrighton ";"player";2
"Riyad Mahrez ";"player";2
"Shinji Okazaki ";"player";2
"Jamie Vardy ";"player";2
"Ron-Robert Zieler ";"bench";2
"Luis Hernández ";"bench";2
"Daniel Amartey ";"bench";2
"Andy King ";"bench";2
"Demarai Gray ";"bench";2
"Ahmed Musa ";"bench";2
"Leonardo Ulloa ";"bench";2
"Heurelho Gomes ";"player";3
"Younès Kaboul ";"player";3
"Sebastian Prödl ";"player";3
"Christian Kabasele ";"player";3
"Valon Behrami ";"player";3
"Étienne Capoue ";"player";3
"Adlène Guédioura ";"player";3
"Nordin Amrabat ";"player";3
"José Holebas ";"player";3
"Troy Deeney  ";"player";3
"Odion Ighalo ";"player";3
"Costel Pantilimon ";"bench";3
"Daryl Janmaat ";"bench";3
"Ben Watson ";"bench";3
"Camilo Zúñiga ";"bench";3
"Roberto Pereyra ";"bench";3
"Isaac Success ";"bench";3
"Jerome Sinclair ";"bench";3
"Petr Cech ";"player";4
"Laurent Koscielny  ";"player";4
"Shkodran Mustafi ";"player";4
"Nacho Monreal ";"player";4
"Héctor Bellerín ";"player";4
"Santi Cazorla ";"player";4
"Francis Coquelin ";"player";4
"Mesut Özil ";"player";4
"Alex Oxlade-Chamberlain ";"player";4
"Theo Walcott ";"player";4
"Lucas Pérez ";"player";4
"David Ospina ";"bench";4
"Rob Holding ";"bench";4
"Granit Xhaka ";"bench";4
"Mohamed Elneny ";"bench";4
"Alexis Sánchez ";"bench";4
"Alex Iwobi ";"bench";4
"Olivier Giroud ";"bench";4
"Eldin Jakupovic ";"player";5
"Curtis Davies  ";"player";5
"Jake Livermore ";"player";5
"Andrew Robertson ";"player";5
"Ahmed Elmohamady ";"player";5
"Sam Clucas ";"player";5
"Tom Huddlestone ";"player";5
"David Meyler ";"player";5
"Adama Diomande ";"player";5
"Robert Snodgrass ";"player";5
"Abel Hernández ";"player";5
"David Marshall ";"bench";5
"Harry Maguire ";"bench";5
"Markus Henriksen ";"bench";5
"Ryan Mason ";"bench";5
"Shaun Maloney ";"bench";5
"Dieumerci Mbokani ";"bench";5
"Will Keane ";"bench";5
"Petr Cech ";"player";6
"Laurent Koscielny  ";"player";6
"Shkodran Mustafi ";"player";6
"Nacho Monreal ";"player";6
"Héctor Bellerín ";"player";6
"Francis Coquelin ";"player";6
"Santi Cazorla ";"player";6
"Mesut Özil ";"player";6
"Alex Iwobi ";"player";6
"Theo Walcott ";"player";6
"Alexis Sánchez ";"player";6
"David Ospina ";"bench";6
"Rob Holding ";"bench";6
"Kieran Gibbs ";"bench";6
"Granit Xhaka ";"bench";6
"Alex Oxlade-Chamberlain ";"bench";6
"Lucas Pérez ";"bench";6
"Olivier Giroud ";"bench";6
"Tom Heaton  ";"player";7
"Ben Mee ";"player";7
"Michael Keane ";"player";7
"Stephen Ward ";"player";7
"Matthew Lowton ";"player";7
"Dean Marney ";"player";7
"Jeff Hendrick ";"player";7
"Steven Defour ";"player";7
"George Boyd ";"player";7
"Johann Berg Gudmundsson ";"player";7
"Sam Vokes ";"player";7
"Paul Robinson ";"bench";7
"James Tarkowski ";"bench";7
"Jon Flanagan ";"bench";7
"Aiden O'Neill ";"bench";7
"Scott Arfield ";"bench";7
"Michael Kightly ";"bench";7
"Patrick Bamford ";"bench";7
"Petr Cech ";"player";8
"Laurent Koscielny  ";"player";8
"Shkodran Mustafi ";"player";8
"Nacho Monreal ";"player";8
"Héctor Bellerín ";"player";8
"Granit Xhaka ";"player";8
"Santi Cazorla ";"player";8
"Mesut Özil ";"player";8
"Alex Iwobi ";"player";8
"Theo Walcott ";"player";8
"Alexis Sánchez ";"player";8
"David Ospina ";"bench";8
"Gabriel Paulista ";"bench";8
"Kieran Gibbs ";"bench";8
"Francis Coquelin ";"bench";8
"Mohamed Elneny ";"bench";8
"Alex Oxlade-Chamberlain ";"bench";8
"Lucas Pérez ";"bench";8
"Petr Cech ";"player";9
"Laurent Koscielny  ";"player";9
"Shkodran Mustafi ";"player";9
"Nacho Monreal ";"player";9
"Héctor Bellerín ";"player";9
"Francis Coquelin ";"player";9
"Mohamed Elneny ";"player";9
"Mesut Özil ";"player";9
"Alex Iwobi ";"player";9
"Theo Walcott ";"player";9
"Alexis Sánchez ";"player";9
"David Ospina ";"bench";9
"Gabriel Paulista ";"bench";9
"Kieran Gibbs ";"bench";9
"Jeff Reine-Adelaide ";"bench";9
"Alex Oxlade-Chamberlain ";"bench";9
"Ainsley Maitland-Niles ";"bench";9
"Lucas Pérez ";"bench";9
"Jordan Pickford ";"player";10
"John O'Shea  ";"player";10
"Lamine Koné ";"player";10
"Patrick van Aanholt ";"player";10
"Billy Jones ";"player";10
"Jack Rodwell ";"player";10
"Didier Ndong ";"player";10
"Steven Pienaar ";"player";10
"Wahbi Khazri ";"player";10
"Duncan Watmore ";"player";10
"Jermain Defoe ";"player";10
"Mika ";"bench";10
"Papy Djilobodji ";"bench";10
"Javier Manquillo ";"bench";10
"Donald Love ";"bench";10
"Lynden Gooch ";"bench";10
"Adnan Januzaj ";"bench";10
"Victor Anichebe ";"bench";10
"Petr Cech ";"player";11
"Laurent Koscielny  ";"player";11
"Shkodran Mustafi ";"player";11
"Nacho Monreal ";"player";11
"Héctor Bellerín ";"player";11
"Francis Coquelin ";"player";11
"Granit Xhaka ";"player";11
"Mesut Özil ";"player";11
"Alex Iwobi ";"player";11
"Theo Walcott ";"player";11
"Alexis Sánchez ";"player";11
"David Ospina ";"bench";11
"Gabriel Paulista ";"bench";11
"Kieran Gibbs ";"bench";11
"Mohamed Elneny ";"bench";11
"Aaron Ramsey ";"bench";11
"Alex Oxlade-Chamberlain ";"bench";11
"Olivier Giroud ";"bench";11
"David de Gea ";"player";12
"Marcos Rojo ";"player";12
"Phil Jones ";"player";12
"Matteo Darmian ";"player";12
"Antonio Valencia ";"player";12
"Michael Carrick  ";"player";12
"Paul Pogba ";"player";12
"Ander Herrera ";"player";12
"Anthony Martial ";"player";12
"Juan Mata ";"player";12
"Marcus Rashford ";"player";12
"Sergio Romero ";"bench";12
"Daley Blind ";"bench";12
"Morgan Schneiderlin ";"bench";12
"Ashley Young ";"bench";12
"Memphis Depay ";"bench";12
"Jesse Lingard ";"bench";12
"Wayne Rooney ";"bench";12
"Petr Cech ";"player";13
"Laurent Koscielny  ";"player";13
"Shkodran Mustafi ";"player";13
"Nacho Monreal ";"player";13
"Mathieu Debuchy ";"player";13
"Granit Xhaka ";"player";13
"Mohamed Elneny ";"player";13
"Alex Oxlade-Chamberlain ";"player";13
"Mesut Özil ";"player";13
"Theo Walcott ";"player";13
"Alexis Sánchez ";"player";13
"David Ospina ";"bench";13
"Gabriel Paulista ";"bench";13
"Kieran Gibbs ";"bench";13
"Francis Coquelin ";"bench";13
"Aaron Ramsey ";"bench";13
"Alex Iwobi ";"bench";13
"Olivier Giroud ";"bench";13
"Darren Randolph ";"player";14
"Angelo Ogbonna ";"player";14
"Winston Reid ";"player";14
"James Collins ";"player";14
"Pedro Obiang ";"player";14
"Mark Noble  ";"player";14
"Edimilson Fernandes ";"player";14
"Arthur Masuaku ";"player";14
"Manuel Lanzini ";"player";14
"Dimitri Payet ";"player";14
"Ashley Fletcher ";"player";14
