"player";"lineup";"post";"matchday"
"Petr Cech";"starting";"Keeper";1
"Rob Holding";"starting";"Centre-Back";1
"Nacho Monreal";"starting";"Centre-Back";1
"Sead Kolasinac";"starting";"Centre-Back";1
"Granit Xhaka";"starting";"Defensive Midfield";1
"Mohamed Elneny";"starting";"Defensive Midfield";1
"Héctor Bellerín";"starting";"Right Midfield";1
"Alex Oxlade-Chamberlain";"starting";"Left Midfield";1
"Mesut Özil";"starting";"Attacking Midfield";1
"Danny Welbeck";"starting";"Secondary Striker";1
"Alexandre Lacazette";"starting";"Centre-Forward";1
"David Ospina";"bench";"Keeper";1
"Shkodran Mustafi";"bench";"Centre-Back";1
"Francis Coquelin";"bench";"Defensive Midfield";1
"Aaron Ramsey";"bench";"Defensive Midfield";1
"Alex Iwobi";"bench";"Left Wing";1
"Theo Walcott";"bench";"Right Wing";1
"Olivier Giroud";"bench";"Centre-Forward";1
"Petr Cech";"starting";"Keeper";2
"Shkodran Mustafi";"starting";"Centre-Back";2
"Nacho Monreal";"starting";"Centre-Back";2
"Sead Kolasinac";"starting";"Centre-Back";2
"Granit Xhaka";"starting";"Defensive Midfield";2
"Aaron Ramsey";"starting";"Defensive Midfield";2
"Alex Oxlade-Chamberlain";"starting";"Right Midfield";2
"Héctor Bellerín";"starting";"Left Midfield";2
"Mesut Özil";"starting";"Attacking Midfield";2
"Alexandre Lacazette";"starting";"Centre-Forward";2
"Danny Welbeck";"starting";"Centre-Forward";2
"David Ospina";"bench";"Keeper";2
"Per Mertesacker";"bench";"Centre-Back";2
"Francis Coquelin";"bench";"Defensive Midfield";2
"Mohamed Elneny";"bench";"Defensive Midfield";2
"Alex Iwobi";"bench";"Attacking Midfield";2
"Theo Walcott";"bench";"Right Wing";2
"Olivier Giroud";"bench";"Centre-Forward";2
"Petr Cech";"starting";"Keeper";3
"Laurent Koscielny";"starting";"Centre-Back";3
"Rob Holding";"starting";"Centre-Back";3
"Nacho Monreal";"starting";"Centre-Back";3
"Granit Xhaka";"starting";"Defensive Midfield";3
"Aaron Ramsey";"starting";"Defensive Midfield";3
