"player";"lineup";"post";"matchday"
"Petr Cech";"starting";"Keeper";1
"Rob Holding";"starting";"Centre-Back";1
"Calum Chambers";"starting";"Centre-Back";1
"Nacho Monreal";"starting";"Left-Back";1
"Héctor Bellerín";"starting";"Right-Back";1
"Mohamed Elneny";"starting";"Defensive Midfield";1
"Francis Coquelin";"starting";"Central Midfield";1
"Aaron Ramsey";"starting";"Attacking Midfield";1
"Alex Iwobi";"starting";"Left Wing";1
"Theo Walcott";"starting";"Right Wing";1
"Alexis Sánchez";"starting";"Centre-Forward";1
"David Ospina";"bench";"Keeper";1
"Kieran Gibbs";"bench";"Left-Back";1
"Granit Xhaka";"bench";"Central Midfield";1
"Jack Wilshere";"bench";"Central Midfield";1
"Santi Cazorla";"bench";"Attacking Midfield";1
"Alex Oxlade-Chamberlain";"bench";"Left Midfield";1
"Chuba Akpom";"bench";"Centre-Forward";1
"Petr Cech";"starting";"Keeper";2
"Laurent Koscielny";"starting";"Centre-Back";2
"Rob Holding";"starting";"Centre-Back";2
"Nacho Monreal";"starting";"Left-Back";2
"Héctor Bellerín";"starting";"Right-Back";2
"Granit Xhaka";"starting";"Defensive Midfield";2
"Francis Coquelin";"starting";"Defensive Midfield";2
"Alex Oxlade-Chamberlain";"starting";"Left Midfield";2
"Santi Cazorla";"starting";"Attacking Midfield";2
"Theo Walcott";"starting";"Right Wing";2
"Alexis Sánchez";"starting";"Centre-Forward";2
"David Ospina";"bench";"Keeper";2
"Kieran Gibbs";"bench";"Left-Back";2
"Calum Chambers";"bench";"Right-Back";2
"Mohamed Elneny";"bench";"Defensive Midfield";2
"Jack Wilshere";"bench";"Central Midfield";2
"Mesut Özil";"bench";"Attacking Midfield";2
"Olivier Giroud";"bench";"Centre-Forward";2
"Petr Cech";"starting";"Keeper";3
"Laurent Koscielny";"starting";"Centre-Back";3
"Rob Holding";"starting";"Centre-Back";3
"Nacho Monreal";"starting";"Left-Back";3
"Héctor Bellerín";"starting";"Right-Back";3
"Granit Xhaka";"starting";"Defensive Midfield";3
"Santi Cazorla";"starting";"Central Midfield";3
