"player";"lineup";"post";"matchday"
"Yoan Cardinale";"starting";"Keeper";1
"Malang Sarr";"starting";"Centre-Back";1
"Paul Baysse";"starting";"Centre-Back";1
"Dalbert";"starting";"Left-Back";1
"Arnaud Souquet";"starting";"Right-Back";1
"Rémi Walter";"starting";"Defensive Midfield";1
"Jean Michaël Seri";"starting";"Central Midfield";1
"Vincent Koziello";"starting";"Central Midfield";1
"Arnaud Lusamba";"starting";"Left Wing";1
"Vincent Marcel";"starting";"Right Wing";1
"Alassane Pléa";"starting";"Centre-Forward";1
"Mouez Hassen";"bench";"Keeper";1
"Mathieu Bodmer";"bench";"Centre-Back";1
"Albert Rafetraniaina";"bench";"Defensive Midfield";1
"Wylan Cyprien";"bench";"Central Midfield";1
"Julien Vercauteren";"bench";"Right Wing";1
"Anastasios Donis";"bench";"Centre-Forward";1
"Alexy Bosetti";"bench";"Centre-Forward";1
"Yoan Cardinale";"starting";"Keeper";2
"Malang Sarr";"starting";"Centre-Back";2
"Paul Baysse";"starting";"Centre-Back";2
"Dalbert";"starting";"Left-Back";2
"Ricardo Pereira";"starting";"Right-Back";2
"Mathieu Bodmer";"starting";"Defensive Midfield";2
"Jean Michaël Seri";"starting";"Central Midfield";2
"Vincent Koziello";"starting";"Central Midfield";2
"Valentin Eysseric";"starting";"Left Wing";2
"Wylan Cyprien";"starting";"Right Wing";2
"Alassane Pléa";"starting";"Centre-Forward";2
"Mouez Hassen";"bench";"Keeper";2
"Olivier Boscagli";"bench";"Left-Back";2
"Arnaud Souquet";"bench";"Right-Back";2
"Rémi Walter";"bench";"Defensive Midfield";2
"Arnaud Lusamba";"bench";"Attacking Midfield";2
"Vincent Marcel";"bench";"Right Wing";2
"Anastasios Donis";"bench";"Centre-Forward";2
"Yoan Cardinale";"starting";"Keeper";3
"Malang Sarr";"starting";"Centre-Back";3
"Paul Baysse";"starting";"Centre-Back";3
"Dalbert";"starting";"Left-Back";3
"Ricardo Pereira";"starting";"Right-Back";3
"Mathieu Bodmer";"starting";"Defensive Midfield";3
"Jean Michaël Seri";"starting";"Central Midfield";3
"Vincent Koziello";"starting";"Central Midfield";3
"Wylan Cyprien";"starting";"Right Midfield";3
"Valentin Eysseric";"starting";"Left Wing";3
"Alassane Pléa";"starting";"Centre-Forward";3
"Mouez Hassen";"bench";"Keeper";3
"Dante";"bench";"Centre-Back";3
"Arnaud Souquet";"bench";"Right-Back";3
"Rémi Walter";"bench";"Defensive Midfield";3
"Arnaud Lusamba";"bench";"Attacking Midfield";3
"Vincent Marcel";"bench";"Right Wing";3
"Alexy Bosetti";"bench";"Centre-Forward";3
"Yoan Cardinale";"starting";"Keeper";4
"Dante";"starting";"Centre-Back";4
"Malang Sarr";"starting";"Centre-Back";4
"Paul Baysse";"starting";"Centre-Back";4
"Jean Michaël Seri";"starting";"Central Midfield";4
"Vincent Koziello";"starting";"Central Midfield";4
"Ricardo Pereira";"starting";"Right Midfield";4
"Dalbert";"starting";"Left Midfield";4
"Wylan Cyprien";"starting";"Attacking Midfield";4
"Mario Balotelli";"starting";"Centre-Forward";4
"Alassane Pléa";"starting";"Centre-Forward";4
"Mouez Hassen";"bench";"Keeper";4
"Olivier Boscagli";"bench";"Left-Back";4
"Arnaud Souquet";"bench";"Right-Back";4
"Rémi Walter";"bench";"Defensive Midfield";4
"Younès Belhanda";"bench";"Attacking Midfield";4
"Arnaud Lusamba";"bench";"Attacking Midfield";4
"Valentin Eysseric";"bench";"Left Wing";4
"Yoan Cardinale";"starting";"Keeper";5
"Dante";"starting";"Centre-Back";5
"Malang Sarr";"starting";"Centre-Back";5
"Paul Baysse";"starting";"Centre-Back";5
"Dalbert";"starting";"Left-Back";5
"Arnaud Souquet";"starting";"Right-Back";5
"Mathieu Bodmer";"starting";"Defensive Midfield";5
"Rémi Walter";"starting";"Defensive Midfield";5
"Arnaud Lusamba";"starting";"Attacking Midfield";5
"Younès Belhanda";"starting";"Secondary Striker";5
"Alassane Pléa";"starting";"Centre-Forward";5
"Mouez Hassen";"bench";"Keeper";5
"Olivier Boscagli";"bench";"Left-Back";5
"Ricardo Pereira";"bench";"Right-Back";5
"Wylan Cyprien";"bench";"Central Midfield";5
"Vincent Koziello";"bench";"Central Midfield";5
"Valentin Eysseric";"bench";"Attacking Midfield";5
"Anastasios Donis";"bench";"Centre-Forward";5
"Yoan Cardinale";"starting";"Keeper";6
"Dante";"starting";"Centre-Back";6
"Malang Sarr";"starting";"Centre-Back";6
"Paul Baysse";"starting";"Centre-Back";6
"Jean Michaël Seri";"starting";"Defensive Midfield";6
"Wylan Cyprien";"starting";"Central Midfield";6
"Vincent Koziello";"starting";"Central Midfield";6
"Ricardo Pereira";"starting";"Right Midfield";6
"Dalbert";"starting";"Left Midfield";6
"Younès Belhanda";"starting";"Secondary Striker";6
"Mario Balotelli";"starting";"Centre-Forward";6
"Mouez Hassen";"bench";"Keeper";6
"Mathieu Bodmer";"bench";"Centre-Back";6
"Arnaud Souquet";"bench";"Right-Back";6
"Arnaud Lusamba";"bench";"Attacking Midfield";6
"Valentin Eysseric";"bench";"Attacking Midfield";6
"Anastasios Donis";"bench";"Centre-Forward";6
