"player";"post";"lineup";"matchday"
"Hugo Lloris";"Keeper";"starting";1
"Jan Vertonghen";"Centre-Back";"starting";1
"Toby Alderweireld";"Centre-Back";"starting";1
"Danny Rose";"Left-Back";"starting";1
"Kyle Walker";"Right-Back";"starting";1
"Victor Wanyama";"Defensive Midfield";"starting";1
"Eric Dier";"Defensive Midfield";"starting";1
"Christian Eriksen";"Left Midfield";"starting";1
"Dele Alli";"Attacking Midfield";"starting";1
"Érik Lamela";"Right Wing";"starting";1
"Harry Kane";"Centre-Forward";"starting";1
"Michel Vorm";"Keeper";"bench";1
"Cameron Carter-Vickers";"Centre-Back";"bench";1
"Ben Davies";"Left-Back";"bench";1
"Ryan Mason";"Central Midfield";"bench";1
"Harry Winks";"Central Midfield";"bench";1
"Josh Onomah";"Attacking Midfield";"bench";1
"Vincent Janssen";"Centre-Forward";"bench";1
"Michel Vorm";"Keeper";"starting";2
"Jan Vertonghen";"Centre-Back";"starting";2
"Toby Alderweireld";"Centre-Back";"starting";2
"Danny Rose";"Left-Back";"starting";2
"Kyle Walker";"Right-Back";"starting";2
"Victor Wanyama";"Defensive Midfield";"starting";2
"Eric Dier";"Defensive Midfield";"starting";2
"Christian Eriksen";"Right Midfield";"starting";2
"Érik Lamela";"Left Wing";"starting";2
"Vincent Janssen";"Centre-Forward";"starting";2
"Harry Kane";"Centre-Forward";"starting";2
"Luke McGee";"Keeper";"bench";2
"Cameron Carter-Vickers";"Centre-Back";"bench";2
"Ben Davies";"Left-Back";"bench";2
"Tom Carroll";"Central Midfield";"bench";2
"Ryan Mason";"Central Midfield";"bench";2
"Dele Alli";"Left Midfield";"bench";2
"Josh Onomah";"Attacking Midfield";"bench";2
"Michel Vorm";"Keeper";"starting";3
"Jan Vertonghen";"Centre-Back";"starting";3
"Toby Alderweireld";"Centre-Back";"starting";3
"Danny Rose";"Left-Back";"starting";3
"Kyle Walker";"Right-Back";"starting";3
"Victor Wanyama";"Defensive Midfield";"starting";3
"Eric Dier";"Defensive Midfield";"starting";3
"Christian Eriksen";"Left Midfield";"starting";3
"Dele Alli";"Attacking Midfield";"starting";3
"Érik Lamela";"Right Wing";"starting";3
"Harry Kane";"Centre-Forward";"starting";3
"Luke McGee";"Keeper";"bench";3
"Cameron Carter-Vickers";"Centre-Back";"bench";3
"Ben Davies";"Left-Back";"bench";3
"Harry Winks";"Central Midfield";"bench";3
"Josh Onomah";"Right Midfield";"bench";3
"Heung-Min Son";"Left Wing";"bench";3
"Vincent Janssen";"Centre-Forward";"bench";3
"Hugo Lloris";"Keeper";"starting";4
"Jan Vertonghen";"Centre-Back";"starting";4
"Toby Alderweireld";"Centre-Back";"starting";4
"Ben Davies";"Left-Back";"starting";4
"Kyle Walker";"Right-Back";"starting";4
"Victor Wanyama";"Defensive Midfield";"starting";4
"Eric Dier";"Defensive Midfield";"starting";4
"Christian Eriksen";"Right Midfield";"starting";4
"Dele Alli";"Attacking Midfield";"starting";4
"Heung-Min Son";"Left Wing";"starting";4
"Harry Kane";"Centre-Forward";"starting";4
"Michel Vorm";"Keeper";"bench";4
"Cameron Carter-Vickers";"Centre-Back";"bench";4
"Kieran Trippier";"Right-Back";"bench";4
"Moussa Sissoko";"Central Midfield";"bench";4
"Harry Winks";"Central Midfield";"bench";4
"Érik Lamela";"Right Wing";"bench";4
