"player";"post";"lineup";"matchday"
"Simon Mignolet";"Keeper";"starting";1
"Ragnar Klavan";"Centre-Back";"starting";1
"Dejan Lovren";"Centre-Back";"starting";1
"Alberto Moreno";"Left-Back";"starting";1
"Nathaniel Clyne";"Right-Back";"starting";1
"Jordan Henderson";"Defensive Midfield";"starting";1
"Georginio Wijnaldum";"Central Midfield";"starting";1
"Adam Lallana";"Central Midfield";"starting";1
"Philippe Coutinho";"Left Wing";"starting";1
"Sadio Mané";"Right Wing";"starting";1
"Roberto Firmino";"Centre-Forward";"starting";1
"Alexander Manninger";"Keeper";"bench";1
"Joel Matip";"Centre-Back";"bench";1
"Trent Alexander-Arnold";"Right-Back";"bench";1
"Kevin Stewart";"Defensive Midfield";"bench";1
"Emre Can";"Defensive Midfield";"bench";1
"Marko Grujic";"Central Midfield";"bench";1
"Divock Origi";"Centre-Forward";"bench";1
"Simon Mignolet";"Keeper";"starting";2
"Ragnar Klavan";"Centre-Back";"starting";2
"Dejan Lovren";"Centre-Back";"starting";2
"James Milner";"Left-Back";"starting";2
"Nathaniel Clyne";"Right-Back";"starting";2
"Jordan Henderson";"Defensive Midfield";"starting";2
"Georginio Wijnaldum";"Central Midfield";"starting";2
"Adam Lallana";"Central Midfield";"starting";2
"Philippe Coutinho";"Left Wing";"starting";2
"Daniel Sturridge";"Right Wing";"starting";2
"Roberto Firmino";"Centre-Forward";"starting";2
"Alexander Manninger";"Keeper";"bench";2
"Joel Matip";"Centre-Back";"bench";2
"Alberto Moreno";"Left-Back";"bench";2
"Kevin Stewart";"Defensive Midfield";"bench";2
"Emre Can";"Defensive Midfield";"bench";2
"Marko Grujic";"Central Midfield";"bench";2
"Divock Origi";"Centre-Forward";"bench";2
"Simon Mignolet";"Keeper";"starting";3
"Dejan Lovren";"Centre-Back";"starting";3
"Joel Matip";"Centre-Back";"starting";3
"James Milner";"Left-Back";"starting";3
"Nathaniel Clyne";"Right-Back";"starting";3
"Jordan Henderson";"Defensive Midfield";"starting";3
"Georginio Wijnaldum";"Central Midfield";"starting";3
"Adam Lallana";"Central Midfield";"starting";3
"Philippe Coutinho";"Left Wing";"starting";3
"Sadio Mané";"Right Wing";"starting";3
"Roberto Firmino";"Centre-Forward";"starting";3
"Alexander Manninger";"Keeper";"bench";3
"Alberto Moreno";"Left-Back";"bench";3
"Kevin Stewart";"Defensive Midfield";"bench";3
"Lucas Leiva";"Defensive Midfield";"bench";3
"Marko Grujic";"Central Midfield";"bench";3
"Daniel Sturridge";"Right Wing";"bench";3
"Divock Origi";"Centre-Forward";"bench";3
"Simon Mignolet";"Keeper";"starting";4
"Joel Matip";"Centre-Back";"starting";4
"Lucas Leiva";"Centre-Back";"starting";4
"James Milner";"Left-Back";"starting";4
"Nathaniel Clyne";"Right-Back";"starting";4
"Jordan Henderson";"Defensive Midfield";"starting";4
"Georginio Wijnaldum";"Central Midfield";"starting";4
"Adam Lallana";"Central Midfield";"starting";4
"Roberto Firmino";"Left Wing";"starting";4
"Sadio Mané";"Right Wing";"starting";4
"Daniel Sturridge";"Centre-Forward";"starting";4
"Loris Karius";"Keeper";"bench";4
"Ragnar Klavan";"Centre-Back";"bench";4
"Alberto Moreno";"Left-Back";"bench";4
