"player";"lineup";"post";"matchday"
"Willy Caballero";"starting";"Keeper";1
"John Stones";"starting";"Centre-Back";1
"Aleksandar Kolarov";"starting";"Centre-Back";1
"Gaël Clichy";"starting";"Left-Back";1
"Bacary Sagna";"starting";"Right-Back";1
"Fernandinho";"starting";"Defensive Midfield";1
"David Silva";"starting";"Central Midfield";1
"Kevin De Bruyne";"starting";"Central Midfield";1
"Nolito";"starting";"Left Wing";1
"Raheem Sterling";"starting";"Right Wing";1
"Sergio Agüero";"starting";"Centre-Forward";1
"Joe Hart";"bench";"Keeper";1
"Nicolás Otamendi";"bench";"Centre-Back";1
"Pablo Zabaleta";"bench";"Right-Back";1
"Fernando";"bench";"Defensive Midfield";1
"Fabian Delph";"bench";"Central Midfield";1
"Jesús Navas";"bench";"Right Wing";1
"Kelechi Iheanacho";"bench";"Centre-Forward";1
"Willy Caballero";"starting";"Keeper";2
"John Stones";"starting";"Centre-Back";2
"Nicolás Otamendi";"starting";"Centre-Back";2
"Aleksandar Kolarov";"starting";"Left-Back";2
"Pablo Zabaleta";"starting";"Right-Back";2
"Fernandinho";"starting";"Defensive Midfield";2
"David Silva";"starting";"Central Midfield";2
"Kevin De Bruyne";"starting";"Central Midfield";2
"Raheem Sterling";"starting";"Left Wing";2
"Jesús Navas";"starting";"Right Wing";2
"Sergio Agüero";"starting";"Centre-Forward";2
"Joe Hart";"bench";"Keeper";2
"Gaël Clichy";"bench";"Left-Back";2
"Pablo Maffeo";"bench";"Right-Back";2
"Fernando";"bench";"Defensive Midfield";2
"Fabian Delph";"bench";"Central Midfield";2
"Nolito";"bench";"Left Wing";2
"Kelechi Iheanacho";"bench";"Centre-Forward";2
"Willy Caballero";"starting";"Keeper";3
"John Stones";"starting";"Centre-Back";3
"Nicolás Otamendi";"starting";"Centre-Back";3
"Gaël Clichy";"starting";"Left-Back";3
"Pablo Zabaleta";"starting";"Right-Back";3
"Fernandinho";"starting";"Defensive Midfield";3
"David Silva";"starting";"Central Midfield";3
"Kevin De Bruyne";"starting";"Central Midfield";3
"Nolito";"starting";"Left Wing";3
"Raheem Sterling";"starting";"Right Wing";3
"Sergio Agüero";"starting";"Centre-Forward";3
"Joe Hart";"bench";"Keeper";3
"Aleksandar Kolarov";"bench";"Left-Back";3
"Fernando";"bench";"Defensive Midfield";3
"Fabian Delph";"bench";"Central Midfield";3
"Samir Nasri";"bench";"Left Wing";3
"Jesús Navas";"bench";"Right Wing";3
"Kelechi Iheanacho";"bench";"Centre-Forward";3
"Claudio Bravo";"starting";"Keeper";4
"John Stones";"starting";"Centre-Back";4
"Nicolás Otamendi";"starting";"Centre-Back";4
"Aleksandar Kolarov";"starting";"Left-Back";4
"Bacary Sagna";"starting";"Right-Back";4
"Fernandinho";"starting";"Defensive Midfield";4
"David Silva";"starting";"Central Midfield";4
"Kevin De Bruyne";"starting";"Attacking Midfield";4
"Nolito";"starting";"Left Wing";4
"Raheem Sterling";"starting";"Right Wing";4
