"id";"p_to_p";"nbPass"
"855542";"Ramsey_to_Özil";18
"855542";"Özil_to_Bellerín";17
"855542";"Özil_to_Sánchez";16
"855542";"Özil_to_Ramsey";14
"855542";"Sánchez_to_Özil";12
"855542";"Williams_to_Baines";11
"855542";"Schneiderlin_to_Baines";11
"855542";"Schneiderlin_to_Gueye";11
"855542";"Bellerín_to_Özil";11
"855542";"Welbeck_to_Özil";10
"855542";"Williams_to_Schneiderlin";9
"855542";"Gueye_to_Schneiderlin";9
"855542";"Baines_to_Williams";8
"855542";"Baines_to_Lukaku";8
"855542";"Baines_to_Barkley";8
"855542";"Özil_to_Welbeck";8
"855542";"Özil_to_Xhaka";8
"855542";"Xhaka_to_Özil";8
"855543";"Lanzini_to_Fernandes";16
"855543";"Fernandes_to_Lanzini";15
"855543";"Ogbonna_to_Cresswell";14
"855543";"Lanzini_to_Feghouli";12
"855543";"Cresswell_to_Feghouli";11
"855543";"Cresswell_to_Lanzini";11
"855543";"Lanzini_to_Ogbonna";11
"855543";"Ward_to_Tarkowski";10
"855543";"Lanzini_to_da Rocha ...";10
"855543";"Heaton_to_Vokes";9
"855543";"da Rocha ..._to_San Migue...";9
"855543";"da Rocha ..._to_Lanzini";9
"855543";"Ward_to_Westwood";9
"855543";"Feghouli_to_Cresswell";9
"855543";"Westwood_to_Ward";9
"855543";"Hendrick_to_Tarkowski";9
"855543";"Fernandes_to_Ogbonna";9
"855543";"Tarkowski_to_Long";8
"855544";"Azpilicueta_to_Fàbregas";26
"855544";"Moses_to_Azpilicueta";16
"855544";"Fàbregas_to_Borges Da...";14
"855544";"Hazard_to_Fàbregas";13
"855544";"Courtois_to_Cahill";13
"855544";"Fàbregas_to_Hazard";12
"855544";"Fàbregas_to_Kanté";12
"855544";"Cahill_to_Kanté";12
"855544";"Fàbregas_to_Azpilicueta";11
"855544";"Luiz More..._to_Courtois";11
"855544";"Hazard_to_Borges Da...";11
"855544";"Fàbregas_to_Moses";10
"855544";"Cahill_to_Alonso";10
"855544";"Luiz More..._to_Azpilicueta";10
"855544";"Azpilicueta_to_Moses";10
"855544";"Borges Da..._to_Moses";10
"855544";"Kanté_to_Alonso";10
"855544";"Fàbregas_to_Da Silva ...";9
"855545";"Trippier_to_Eriksen";17
"855545";"Vertonghen_to_Davies";16
"855545";"Trippier_to_Dier";15
"855545";"Davies_to_Son";15
"855545";"Davies_to_Alli";14
"855545";"Alderweireld_to_Trippier";12
"855545";"Davies_to_Vertonghen";12
"855545";"Eriksen_to_Trippier";11
"855545";"Dier_to_Trippier";11
"855545";"Vertonghen_to_Wanyama";10
"855545";"Son_to_Eriksen";10
"855545";"Davies_to_Wanyama";10
"855545";"Wanyama_to_Davies";9
"855545";"Dier_to_Wanyama";9
"855545";"Alli_to_Eriksen";9
"855545";"Tymon_to_Clucas";9
"855545";"Lloris_to_Alderweireld";8
"855545";"Wanyama_to_Vertonghen";8
"855546";"Surman_to_Smith";14
"855546";"Smith_to_Stanislas";14
"855546";"Smith_to_Surman";13
"855546";"Fuchs_to_Chilwell";11
"855546";"King_to_Simpson";10
"855546";"Surman_to_Gosling";10
"855546";"Gosling_to_Daniels";10
"855546";"Simpson_to_Slimani";10
"855546";"Surman_to_Stanislas";9
"855546";"Chilwell_to_Fuchs";9
"855546";"Simpson_to_Ndidi";8
"855546";"Daniels_to_Pugh";8
"855546";"Stanislas_to_Fraser";8
"855546";"Mahrez_to_King";8
"855546";"Mahrez_to_Slimani";8
"855546";"Slimani_to_Mahrez";8
"855546";"Ndidi_to_King";8
"855546";"Pugh_to_Gosling";7
"855547";"Lovren_to_Matip";28
"855547";"Matip_to_Lovren";23
"855547";"Can_to_Matip";19
"855547";"Milner_to_Coutinho";18
"855547";"Lovren_to_Coutinho";18
"855547";"Matip_to_Coutinho";18
"855547";"Clyne_to_Matip";17
"855547";"Coutinho_to_Milner";16
"855547";"Matip_to_Clyne";15
"855547";"Milner_to_Lovren";14
"855547";"Clyne_to_Wijnaldum";14
"855547";"Coutinho_to_Lallana";14
"855547";"Lovren_to_Can";13
"855547";"Lallana_to_Wijnaldum";13
"855547";"Wijnaldum_to_Lallana";13
"855547";"Wijnaldum_to_Clyne";13
"855547";"Clyne_to_Lallana";13
"855547";"Coutinho_to_Sturridge";13
"855548";"Jones_to_Mitchell";16
"855548";"Mitchell_to_Jones";14
"855548";"Tuanzebe_to_Carrick";14
"855548";"Fosu-Mensah_to_McTominay";14
"855548";"Carrick_to_Tuanzebe";11
"855548";"Jones_to_Tuanzebe";11
"855548";"Puncheon_to_Milivojevic";10
"855548";"Tomkins_to_Kelly";10
"855548";"Puncheon_to_Zaha";9
"855548";"Zaha_to_Puncheon";9
"855548";"Schlupp_to_Puncheon";9
"855548";"Mitchell_to_Pogba";9
"855548";"Bailly_to_Jones";9
"855548";"Carrick_to_Jones";8
"855548";"Puncheon_to_van Aanholt";8
"855548";"Tomkins_to_Milivojevic";8
"855548";"Milivojevic_to_Tomkins";8
"855548";"Jones_to_Carrick";8
"855549";"Bertrand_to_Redmond";15
"855549";"Romeu Vidal_to_Davis";15
"855549";"Redmond_to_Bertrand";12
"855549";"Butland_to_Crouch";12
"855549";"Alves Soares_to_Ward-Prowse";11
"855549";"Yoshida_to_Davis";11
"855549";"Yoshida_to_Bertrand";11
"855549";"Bertrand_to_Romeu Vidal";10
"855549";"Romeu Vidal_to_Yoshida";10
"855549";"Yoshida_to_Romeu Vidal";10
"855549";"Martins Indi_to_Pieters";10
"855549";"Ward-Prowse_to_Romeu Vidal";10
"855549";"Whelan_to_Allen";9
"855549";"Bertrand_to_Davis";9
"855549";"Bertrand_to_Yoshida";9
"855549";"Tadic_to_Bertrand";9
"855549";"Davis_to_Austin";8
"855549";"Davis_to_Ward-Prowse";8
"855550";"Naughton_to_Fer";27
"855550";"Carroll_to_Olsson";18
"855550";"Olsson_to_Carroll";16
"855550";"Fernandez_to_Naughton";16
"855550";"Fer_to_Naughton";15
"855550";"Mawson_to_Carroll";15
"855550";"Mawson_to_Fernandez";14
"855550";"Fer_to_Carroll";12
"855550";"Sigurdsson_to_Naughton";12
"855550";"Nordfeldt_to_Mawson";12
"855550";"Carroll_to_Sigurdsson";10
"855550";"Britton_to_Naughton";9
"855550";"Britton_to_Carroll";9
"855550";"Brunt_to_Rondón";9
"855550";"Olsson_to_Ayew";9
"855550";"Fer_to_Sigurdsson";9
"855550";"Ayew_to_Carroll";9
"855550";"Carroll_to_Ayew";9
"855551";"Clichy_to_Otamendi";18
"855551";"Luiz Rosa_to_Silva";15
"855551";"Kompany_to_Otamendi";14
"855551";"Otamendi_to_Touré";13
"855551";"Otamendi_to_Clichy";13
"855551";"Otamendi_to_Kompany";12
"855551";"Touré_to_Kompany";11
"855551";"Silva_to_Luiz Rosa";11
"855551";"Clichy_to_Silva";10
"855551";"Kompany_to_Luiz Rosa";10
"855551";"Kompany_to_De Bruyne";10
"855551";"Luiz Rosa_to_Kompany";10
"855551";"Sagna_to_Navas";10
"855551";"Luiz Rosa_to_de Jesus";9
"855551";"Touré_to_Silva";8
"855551";"Kompany_to_Touré";8
"855551";"Silva_to_Clichy";8
"855551";"Silva_to_De Bruyne";8
"855507";"Alderweireld_to_Sissoko";16
"855507";"Sissoko_to_Alderweireld";13
"855507";"Dier_to_Alderweireld";13
"855507";"Vertonghen_to_Dier";12
"855507";"Dembélé_to_Alli";11
"855507";"Lloris_to_Vertonghen";10
"855507";"Alli_to_Wanyama";10
"855507";"Davies_to_Vertonghen";10
"855507";"Vertonghen_to_Dembélé";9
"855507";"Sissoko_to_Wanyama";9
"855507";"Wanyama_to_Vertonghen";9
"855507";"Wanyama_to_Alderweireld";9
"855507";"Wanyama_to_Alli";9
"855507";"Alderweireld_to_Dier";9
"855507";"Alderweireld_to_Alli";9
"855507";"Dier_to_Vertonghen";9
"855507";"Alli_to_Dembélé";9
"855507";"Alli_to_Son";9
"855451";"Fellaini_to_Mkhitaryan";14
"855451";"Romeu Vidal_to_Davis";12
"855451";"Yoshida_to_Romeu Vidal";12
"855451";"Fellaini_to_Rooney";11
"855451";"Ward-Prowse_to_Redmond";11
"855451";"Davis_to_Tadic";10
"855451";"Romero_to_Fellaini";10
"855451";"Stephens_to_Davis";10
"855451";"Mkhitaryan_to_Mata";9
"855451";"Redmond_to_Targett";9
"855451";"Targett_to_Redmond";9
"855451";"Davis_to_Alves Soares";8
"855451";"Darmian_to_Fellaini";8
"855451";"Darmian_to_Martial";8
"855451";"Mata_to_Fellaini";8
"855451";"Mkhitaryan_to_Rooney";8
"855451";"Mkhitaryan_to_Fellaini";8
"855451";"Romeu Vidal_to_Stephens";8
"855503";"Xhaka_to_Özil";27
"855503";"Bellerín_to_Holding";18
"855503";"Özil_to_Xhaka";17
"855503";"Monreal_to_Xhaka";16
"855503";"Özil_to_Sánchez";15
"855503";"Özil_to_Ramsey";15
"855503";"Holding_to_Özil";14
"855503";"Xhaka_to_Bellerín";13
"855503";"Bellerín_to_Özil";13
"855503";"Holding_to_Xhaka";12
"855503";"Özil_to_Bellerín";10
"855503";"Monreal_to_Gibbs";10
"855503";"Ramsey_to_Özil";10
"855503";"Gibbs_to_Monreal";10
"855503";"Mustafi_to_Monreal";10
"855503";"Borini_to_Cattermole";10
"855503";"Xhaka_to_Holding";10
"855503";"Cech_to_Xhaka";8
"855509";"Otamendi_to_Touré";30
"855509";"Kompany_to_Otamendi";23
"855509";"Kolarov_to_Otamendi";23
"855509";"Silva_to_Touré";20
"855509";"Touré_to_Silva";19
"855509";"Touré_to_Otamendi";16
"855509";"Otamendi_to_Kompany";16
"855509";"Touré_to_Luiz Rosa";15
"855509";"Touré_to_Kolarov";13
"855509";"Luiz Rosa_to_de Jesus";13
"855509";"Kompany_to_Touré";12
"855509";"Luiz Rosa_to_Kompany";12
"855509";"Otamendi_to_De Bruyne";12
"855509";"Touré_to_Kompany";11
"855509";"Touré_to_Agüero";11
"855509";"Touré_to_De Bruyne";10
"855509";"Luiz Rosa_to_Touré";10
"855509";"Luiz Rosa_to_De Bruyne";10
"855445";"Doucouré_to_Holebas";19
"855445";"Capoue_to_Doucouré";14
"855445";"Holebas_to_Janmaat";13
"855445";"Prödl_to_Holebas";13
"855445";"Mariappa_to_Amrabat";12
"855445";"Borges Da..._to_Azpilicueta";12
"855445";"Borges Da..._to_Hazard";12
"855445";"Doucouré_to_Capoue";12
"855445";"Aké_to_Chalobah";12
"855445";"Mariappa_to_Prödl";11
"855445";"Behrami_to_Doucouré";11
"855445";"Cleverley_to_Amrabat";11
"855445";"Amrabat_to_Mariappa";11
"855445";"Behrami_to_Mariappa";10
"855445";"Behrami_to_Capoue";10
"855445";"Azpilicueta_to_Borges Da...";10
"855445";"Prödl_to_Mariappa";10
"855445";"Chalobah_to_Aké";10
"855533";"Goebel_to_N'Diaye";12
"855533";"Elmohamady_to_Bowen";11
"855533";"Bowen_to_Elmohamady";11
"855533";"N'Diaye_to_Goebel";10
"855533";"Davies_to_Clucas";9
"855533";"Elmohamady_to_Dawson";9
"855533";"Clucas_to_Grosicki";9
"855533";"Dawson_to_Elmohamady";8
"855533";"Elmohamady_to_N'Diaye";8
"855533";"N'Diaye_to_Elmohamady";8
"855533";"Robertson_to_Ranocchia";8
"855533";"Ranocchia_to_Robertson";7
"855533";"N'Diaye_to_Clucas";7
"855533";"Clucas_to_Robertson";7
"855533";"Maguire_to_Clucas";7
"855533";"Davies_to_Niasse";6
"855533";"Puncheon_to_Zaha";6
"855533";"Hennessey_to_Benteke";6
"855541";"Lovren_to_Milner";22
"855541";"Lovren_to_Matip";15
"855541";"Lovren_to_Can";15
"855541";"Matip_to_Lovren";15
"855541";"Milner_to_Can";14
"855541";"Matip_to_Can";14
"855541";"Can_to_Lovren";14
"855541";"Milner_to_Coutinho";13
"855541";"Milner_to_Origi";12
"855541";"Cresswell_to_Lanzini";12
"855541";"Can_to_Milner";12
"855541";"Can_to_Matip";12
"855541";"Milner_to_Lovren";11
"855541";"Matip_to_Clyne";11
"855541";"Milner_to_Lallana";10
"855541";"Lallana_to_Sturridge";10
"855541";"Clyne_to_Wijnaldum";10
"855541";"Clyne_to_Matip";10
"855539";"Vertonghen_to_Davies";16
"855539";"Alderweireld_to_Vertonghen";15
"855539";"Blind_to_Martial";13
"855539";"Dier_to_Alderweireld";13
"855539";"Davies_to_Alli";13
"855539";"Vertonghen_to_Alderweireld";12
"855539";"Lloris_to_Vertonghen";11
"855539";"Blind_to_Rooney";11
"855539";"Trippier_to_Dier";11
"855539";"Vertonghen_to_Lloris";10
"855539";"Alderweireld_to_Dier";10
"855539";"Davies_to_Wanyama";10
"855539";"Wanyama_to_Alli";9
"855539";"Eriksen_to_Vertonghen";9
"855539";"de Gea_to_Jones";8
"855539";"Alderweireld_to_Trippier";8
"855539";"Jones_to_de Gea";8
"855539";"Jones_to_Blind";8
"855535";"Otamendi_to_Touré";19
"855535";"Touré_to_Otamendi";16
"855535";"Clichy_to_Otamendi";16
"855535";"Luiz Rosa_to_De Bruyne";16
"855535";"Otamendi_to_Clichy";14
"855535";"Luiz Rosa_to_Silva";13
"855535";"Kompany_to_Otamendi";12
"855535";"Silva_to_Sané";12
"855535";"De Bruyne_to_Silva";11
"855535";"Touré_to_Kompany";10
"855535";"Touré_to_Luiz Rosa";10
"855535";"Silva_to_Luiz Rosa";10
"855535";"Sané_to_Silva";10
"855535";"Clichy_to_Touré";9
"855535";"Clichy_to_Sané";9
"855535";"Caballero_to_Otamendi";9
"855535";"De Bruyne_to_Luiz Rosa";9
"855535";"Sané_to_Clichy";9
"855532";"Francis_to_Smith";18
"855532";"Smith_to_Francis";17
"855532";"Cook_to_Francis";15
"855532";"Daniels_to_Pugh";14
"855532";"Heaton_to_Vokes";13
"855532";"Smith_to_Stanislas";12
"855532";"Westwood_to_Lowton";11
"855532";"Lowton_to_Westwood";10
"855532";"Francis_to_Boruc";9
"855532";"Francis_to_Cook";9
"855532";"Arter_to_Cook";9
"855532";"Francis_to_Cook";8
"855532";"Pugh_to_Daniels";8
"855532";"Arter_to_Francis";8
"855532";"Stanislas_to_Smith";8
"855532";"Cook_to_Daniels";8
"855532";"Westwood_to_Hendrick";8
"855532";"Francis_to_Stanislas";7
"855536";"Cáceres_to_Romeu Vidal";19
"855536";"Romeu Vidal_to_Clasie";19
"855536";"Romeu Vidal_to_Højbjerg";19
"855536";"Clasie_to_Romeu Vidal";18
"855536";"Pied_to_Long";12
"855536";"Friend_to_Downing";11
"855536";"Romeu Vidal_to_Cáceres";10
"855536";"Højbjerg_to_Bertrand";10
"855536";"Højbjerg_to_Romeu Vidal";10
"855536";"Bertrand_to_Rodriguez";9
"855536";"Bertrand_to_Højbjerg";9
"855536";"Yoshida_to_Romeu Vidal";9
"855536";"Bertrand_to_Yoshida";8
"855536";"Pied_to_Clasie";8
"855536";"Romeu Vidal_to_Bertrand";8
"855536";"Downing_to_Friend";7
"855536";"Friend_to_Clayton";7
"855536";"Cáceres_to_Pied";7
"855538";"Larsson_to_Manquillo";18
