"id";"url";"place_date";"homeTeam";"awayTeam";"score";"goalHome";"goalAway";"possessionHome";"possessionAway";"passesCompletedHome";"passesCompletedAway";"cornersHome";"cornersAway";"atk3rdPassesHome";"atk3rdPassesAway";"shotsHome";"shotsAway";"foulsHome";"foulsAway"
"855542";"https://www.fourfourtwo.com/statszone/8-2016/matches/855542";"EmiratesStadiumLondon,Sunday,May21,2017-15:00";"Arsenal";"Everton";"3-1";3;1;50,2;49,8;362;362;4;6;138;169;17;22;10;15
"855543";"https://www.fourfourtwo.com/statszone/8-2016/matches/855543";"TurfMoorBurnley,Sunday,May21,2017-15:00";"Burnley";"WestHamUnited";"1-2";1;2;44,7;55,3;275;371;2;5;126;127;9;14;11;14
"855544";"https://www.fourfourtwo.com/statszone/8-2016/matches/855544";"StamfordBridgeLondon,Sunday,May21,2017-15:00";"Chelsea";"Sunderland";"5-1";5;1;70,5;29,5;583;204;11;1;253;52;28;7;8;15
"855545";"https://www.fourfourtwo.com/statszone/8-2016/matches/855545";"KCOMStadiumHull,Sunday,May21,2017-15:00";"HullCity";"TottenhamHotspur";"1-7";1;7;34,7;65,3;225;516;2;3;46;208;10;19;14;5
"855546";"https://www.fourfourtwo.com/statszone/8-2016/matches/855546";"KingPowerStadiumLeicester,Sunday,May21,2017-15:00";"LeicesterCity";"Bournemouth";"1-1";1;1;48,6;51,4;319;344;9;1;123;145;20;10;11;10
"855547";"https://www.fourfourtwo.com/statszone/8-2016/matches/855547";"AnfieldLiverpool,Sunday,May21,2017-15:00";"Liverpool";"Middlesbrough";"3-0";3;0;73,8;26,2;669;164;3;3;243;86;25;9;13;8
"855548";"https://www.fourfourtwo.com/statszone/8-2016/matches/855548";"OldTraffordManchester,Sunday,May21,2017-15:00";"ManchesterUnited";"CrystalPalace";"2-0";2;0;58,8;41,2;477;292;3;6;131;144;9;6;16;10
"855549";"https://www.fourfourtwo.com/statszone/8-2016/matches/855549";"St.Mary'sStadiumSouthampton,Sunday,May21,2017-15:00";"Southampton";"StokeCity";"0-1";0;1;61;39;425;234;4;10;166;104;15;14;12;10
"855550";"https://www.fourfourtwo.com/statszone/8-2016/matches/855550";"LibertyStadiumSwansea,Sunday,May21,2017-15:00";"SwanseaCity";"WestBromwichAlbion";"2-1";2;1;65,3;34,7;502;247;7;4;163;108;12;16;8;10
"855551";"https://www.fourfourtwo.com/statszone/8-2016/matches/855551";"VicarageRoadWatford,Sunday,May21,2017-15:00";"Watford";"ManchesterCity";"0-5";0;5;32,9;67,1;219;553;4;5;54;182;6;15;12;10
"855507";"https://www.fourfourtwo.com/statszone/8-2016/matches/855507";"KingPowerStadiumLeicester,Thursday,May18,2017-19:45";"LeicesterCity";"TottenhamHotspur";"1-6";1;6;37,3;62,7;229;473;4;4;84;163;12;26;11;8
"855451";"https://www.fourfourtwo.com/statszone/8-2016/matches/855451";"St.Mary'sStadiumSouthampton,Wednesday,May17,2017-19:45";"Southampton";"ManchesterUnited";"0-0";0;0;52,8;47,2;389;363;7;3;131;118;17;11;7;10
"855503";"https://www.fourfourtwo.com/statszone/8-2016/matches/855503";"EmiratesStadiumLondon,Tuesday,May16,2017-19:45";"Arsenal";"Sunderland";"2-0";2;0;62,5;37,5;474;251;17;3;226;86;36;6;15;10
