"player";"post";"lineup";"matchday"
"David de Gea";"Keeper";"starting";1
"Eric Bailly";"Centre-Back";"starting";1
"Daley Blind";"Centre-Back";"starting";1
"Luke Shaw";"Left-Back";"starting";1
"Antonio Valencia";"Right-Back";"starting";1
"Marouane Fellaini";"Defensive Midfield";"starting";1
"Ander Herrera";"Central Midfield";"starting";1
"Anthony Martial";"Left Wing";"starting";1
"Juan Mata";"Right Wing";"starting";1
"Wayne Rooney";"Secondary Striker";"starting";1
"Zlatan Ibrahimovic";"Centre-Forward";"starting";1
"Sergio Romero";"Keeper";"bench";1
"Marcos Rojo";"Centre-Back";"bench";1
"Michael Carrick";"Defensive Midfield";"bench";1
"Morgan Schneiderlin";"Central Midfield";"bench";1
"Henrikh Mkhitaryan";"Right Wing";"bench";1
"Memphis Depay";"Left Wing";"bench";1
"Marcus Rashford";"Centre-Forward";"bench";1
"David de Gea";"Keeper";"starting";2
"Eric Bailly";"Centre-Back";"starting";2
"Daley Blind";"Centre-Back";"starting";2
"Luke Shaw";"Left-Back";"starting";2
"Antonio Valencia";"Right-Back";"starting";2
"Marouane Fellaini";"Defensive Midfield";"starting";2
"Paul Pogba";"Central Midfield";"starting";2
"Anthony Martial";"Left Wing";"starting";2
"Juan Mata";"Right Wing";"starting";2
"Wayne Rooney";"Secondary Striker";"starting";2
"Zlatan Ibrahimovic";"Centre-Forward";"starting";2
"Sergio Romero";"Keeper";"bench";2
"Chris Smalling";"Centre-Back";"bench";2
"Morgan Schneiderlin";"Defensive Midfield";"bench";2
"Ander Herrera";"Central Midfield";"bench";2
"Ashley Young";"Left Midfield";"bench";2
"Henrikh Mkhitaryan";"Right Wing";"bench";2
"Marcus Rashford";"Centre-Forward";"bench";2
"David de Gea";"Keeper";"starting";3
"Eric Bailly";"Centre-Back";"starting";3
"Daley Blind";"Centre-Back";"starting";3
"Luke Shaw";"Left-Back";"starting";3
"Antonio Valencia";"Right-Back";"starting";3
"Marouane Fellaini";"Defensive Midfield";"starting";3
"Paul Pogba";"Central Midfield";"starting";3
"Anthony Martial";"Left Wing";"starting";3
